Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran,Confirmed,Recovered,Deaths
01/22/2020,548,1,0,0,0,0,0,0,0,0,0
01/23/2020,643,1,0,0,0,0,0,0,0,0,0
01/24/2020,920,2,0,0,2,0,0,0,0,0,0
01/25/2020,1406,2,0,0,3,0,0,0,0,0,0
01/26/2020,2075,5,0,0,3,0,0,0,0,0,0
01/27/2020,2877,5,0,0,3,1,0,0,0,0,0
01/28/2020,5509,5,0,0,4,4,0,0,0,0,0
01/29/2020,6087,5,0,0,5,4,0,0,0,0,0
01/30/2020,8141,5,0,0,5,4,0,0,0,0,0
01/31/2020,9802,7,2,2,5,5,0,0,0,0,0
02/01/2020,11891,8,2,2,6,8,1,0,0,0,0
02/02/2020,16630,8,2,2,6,10,1,0,0,0,0
02/03/2020,19716,11,8,2,6,12,1,0,0,0,0
02/04/2020,23707,11,8,2,6,12,1,0,0,0,0
02/05/2020,27440,11,9,2,6,12,1,0,0,0,0
02/06/2020,30587,11,9,2,6,12,1,0,0,0,0
02/07/2020,34110,11,9,3,6,13,1,0,0,0,0
02/08/2020,36814,11,13,3,11,13,1,0,0,0,0
02/09/2020,39829,11,14,3,11,14,2,0,0,0,0
02/10/2020,42354,11,14,3,11,14,2,0,0,0,0
02/11/2020,44386,12,15,3,11,16,2,0,0,0,0
02/12/2020,44759,12,16,3,11,16,2,0,0,0,0
02/13/2020,59895,13,17,3,11,16,2,0,0,0,0
02/14/2020,66358,13,18,3,11,16,2,0,0,0,0
02/15/2020,68413,13,18,3,12,16,2,0,0,0,0
02/16/2020,70513,13,18,3,12,16,2,0,0,0,0
02/17/2020,72434,13,19,3,12,16,2,0,0,0,0
02/18/2020,74211,13,19,3,12,16,2,0,0,0,0
02/19/2020,74619,13,20,3,12,16,2,2,0,0,0
02/20/2020,75077,13,22,3,12,16,2,5,0,0,0
02/21/2020,75550,15,23,20,12,16,2,18,0,0,0
02/22/2020,77001,15,23,62,12,16,2,28,0,0,0
02/23/2020,77022,15,28,155,12,16,2,43,0,0,0
02/24/2020,77241,15,30,229,12,16,2,61,1,0,0
02/25/2020,77754,15,34,322,14,17,6,95,1,0,0
02/26/2020,78166,15,37,453,18,27,13,139,1,0,0
02/27/2020,78600,16,44,655,38,46,15,245,1,0,0
02/28/2020,78928,16,56,888,57,48,32,388,1,0,0
02/29/2020,79356,24,61,1128,100,79,45,593,1,0,0
03/01/2020,79932,30,94,1694,130,130,84,978,1,0,0
03/02/2020,80136,53,134,2036,191,159,120,1501,1,0,0
03/03/2020,80261,73,189,2502,204,196,165,2336,1,0,0
03/04/2020,80386,104,246,3089,288,262,222,2922,1,0,0
03/05/2020,80537,174,295,3858,380,482,259,3513,1,0,0
03/06/2020,80690,222,374,4636,656,670,400,4747,1,0,0
03/07/2020,80770,337,429,5883,959,799,500,5823,1,0,0
03/08/2020,80823,451,483,7375,1136,1040,673,6566,4,0,0
03/09/2020,80860,519,630,9172,1219,1176,1073,7161,4,0,0
03/10/2020,80887,711,889,10149,1794,1457,1695,8042,5,0,0
03/11/2020,80921,1109,1301,12462,2293,1908,2277,9000,7,0,0
03/12/2020,80932,1561,1790,15113,2293,2078,2277,10075,7,0,0
03/13/2020,80945,2157,2270,17660,3681,3675,5232,11364,7,0,0
03/14/2020,80977,2870,2634,21157,4496,4585,6391,12729,11,0,0
03/15/2020,81003,2968,3077,24747,4532,5795,7798,13938,16,0,0
03/16/2020,81033,4360,3692,27980,6683,7272,9942,14991,21,1,0
03/17/2020,81058,6141,4462,31506,7715,9257,11748,16169,22,1,0
03/18/2020,81102,8917,5467,35713,9124,12327,13910,17361,22,1,0
03/19/2020,81156,14157,6533,41035,10970,15320,17963,18407,22,1,0
03/20/2020,81250,19479,7791,47021,12758,19848,20410,19644,24,1,0
03/21/2020,81305,25825,9006,53578,14463,22213,25374,20610,24,1,0
03/22/2020,81435,33761,10395,59138,16243,24873,28768,21638,40,1,1
03/23/2020,81498,43850,12744,63927,20123,29056,35136,23049,40,1,1
03/24/2020,81591,54112,15126,69176,22622,32986,39885,24811,74,1,1
03/25/2020,81661,66055,17843,74386,25600,37323,49515,27017,84,2,2
03/26/2020,81782,84091,20970,80589,29551,43938,57786,29406,94,2,4
03/27/2020,81897,102276,24219,86498,33402,50871,65719,32332,110,2,4
03/28/2020,81999,122069,27062,92472,38105,57695,73235,35408,110,2,4
03/29/2020,82122,141205,29954,97689,40708,62095,80110,38309,120,2,4
03/30/2020,82198,162707,34281,101739,45170,66885,87956,41495,170,2,4
03/31/2020,82279,188724,38815,105792,52827,71808,95923,44605,174,5,4
04/01/2020,82361,214205,43789,110574,57749,77872,104118,47593,237,5,4
